Accession,Description,Symbol,Peptides,PD_Detected_Peptides,Unique,100011 WT_EZR Normalized,100012 WT_EZR Normalized,100013 WT_EZR Normalized,100005 WT_CYT Normalized,100006 WT_CYT Normalized,100007 WT_CYT Normalized,100017_1 SPQC Normalized,100017_2 SPQC Normalized,100017_3 SPQC Normalized,WT_EZR_CV,WT_CYT_CV,SPQC_CV,WT_EZR_v_WT_CYT_FC,WT_EZR_v_WT_CYT_pval,Stats
Q9QZD9,Eukaryotic translation initiation factor 3 subunit I OS,Eif3i,4,4.4.3.4.3.3,4,1291610.568,1177150.549,1227019.058,1258777.641,1487700.726,1342482.454,1129846.826,1407569.074,1141452.878,4.66,8.5,12.8,-1.106386,0.1680966,
O88845,"A-kinase anchor protein 10, mitochondrial OS",Akap10,2,2.2.2.2.2.2,2,191318.4713,164406.0181,172991.3877,206586.8347,184729.43,193895.6183,200693.5297,199401.9088,210957.3345,7.8,5.63,3.11,-1.106855,0.1430486,
Q9QXG2,Rab proteins geranylgeranyltransferase component A 1 OS,Chm,2,1.2.2.2.2.2,2,150666.6792,142903.7006,190873.4629,168407.5931,227661.2188,140152.2854,170836.3546,188962.515,209491.3987,15.9,25,10.2,-1.10688,0.6260233,
P70175,Disks large homolog 3 OS,Dlg3,5,5.5.5.5.4.5,5,852457.1892,676541.897,875468.589,894185.4778,963941.8571,803541.3987,878673.0094,728670.0545,721309.1225,13.6,9.06,11.4,-1.106968,0.3496787,
Q8K4Q0,Regulatory-associated protein of mTOR OS,Rptor,11,9.7.9.11.10.10,11,4210894.866,3662139.937,5181923.483,5571250.168,4308149.999,4574563.411,4668891.438,4238974.651,4302348.332,17.7,13.8,5.27,-1.107163,0.4549781,
Q8QZY1,Eukaryotic translation initiation factor 3 subunit L OS,Eif3l,7,4.5.7.5.7.6,7,1422489.458,1606709.32,1577782.997,1735635.222,1592965.037,1773273.494,1566034.818,1613736.328,1504629.05,6.45,5.59,3.5,-1.107422,0.1120405,
Q91Z38,Tetratricopeptide repeat protein 1 OS,Ttc1,2,2.-.2.2.2.2,2,160901.4102,119963.8283,93083.4308,133167.8218,108975.4907,172018.506,167536.8143,161796.2635,125236.1916,27.4,23,15.1,-1.107537,0.6237378,
Q61037,Tuberin OS,Tsc2,3,3.3.3.3.3.3,3,99750.88518,102698.9533,110072.3266,117439.8791,104098.7998,124656.4074,99611.43611,90213.62484,98312.3571,5.1,9.04,5.3,-1.107746,0.1924201,
Q99JR1,Sideroflexin-1 OS,Sfxn1,7,7.7.7.7.7.7,7,4745666.903,3701682.349,4403978.341,4886065.026,4723960.213,4629642.223,4803188.461,4895615.917,4376310.732,12.4,2.73,5.9,-1.108031,0.278979,
O35454,H(+)/Cl(-) exchange transporter 6 OS,Clcn6,2,2.2.2.2.2.2,2,54502.67594,66190.8667,58492.19951,61035.75307,59514.69972,77996.23371,76333.35117,68759.01532,61569.23657,9.95,15.5,10.7,-1.10805,0.4031198,
Q9JKC6,Cell cycle exit and neuronal differentiation protein 1 OS,Cend1,7,7.5.4.7.7.7,7,2207692.884,1459061.682,1099062.122,1879345.897,1626784.622,1776234.791,1525350.916,1944685.094,2014705.844,35.6,7.21,14.5,-1.108386,0.5568048,
O08663,Methionine aminopeptidase 2 OS,Metap2,1,1.1.1.1.1.1,1,43424.54369,42244.06565,43757.59568,40677.23633,54645.14395,48136.45056,43743.7386,46441.0111,51781.67083,1.84,14.6,8.64,-1.108422,0.3789176,
Q9EQH2,Endoplasmic reticulum aminopeptidase 1 OS,Erap1,1,1.1.1.1.1.1,1,31134.92073,30241.20705,46580.84944,49121.68367,29612.33619,40944.44655,29933.30798,26548.52729,30981.56747,25.5,24.6,7.95,-1.108576,0.6423485,
Q91WM2,Haloacid dehalogenase-like hydrolase domain-containing 5 OS,Hdhd5,1,1.1.1.1.1.1,1,7802.995668,5089.320095,8441.386652,10189.66462,5641.029068,7819.857417,9099.405972,9603.992476,9327.972503,25,28.9,2.7,-1.1086,0.6956056,
Q8K4X7,1-acyl-sn-glycerol-3-phosphate acyltransferase delta OS,Agpat4,8,7.7.8.7.8.7,8,922067.111,851730.8394,1030386.276,1033857.983,992046.2513,1083063.701,1016815.87,969577.2228,1028620.641,9.63,4.4,3.11,-1.108689,0.1868841,
Q8BKT7,THO complex subunit 5 homolog OS,Thoc5,1,1.1.1.1.1.1,1,22160.39014,22532.55533,24694.11086,27046.54692,25372.58,24515.42725,28880.50779,28357.03227,20400.5639,5.92,5.02,18.4,-1.108774,0.0810827,
P49443,Protein phosphatase 1A OS,Ppm1a,14,12.14.14.12.14.13,12,10079871.02,11852146.4,9928123.636,10420224.99,11515524.43,13400974.67,10455367.58,10662853.07,11277725.68,10.1,12.8,3.96,-1.10912,0.3380168,
Q80U28,MAP kinase-activating death domain protein OS,Madd,22,22.21.20.22.22.20,22,6812275.889,5207803.103,5141376.032,6532436.299,6322821.718,6181565.407,5863863.438,5721025.675,5203513.847,16.5,2.78,6.21,-1.109278,0.3457528,
Q99JF5,Diphosphomevalonate decarboxylase OS,Mvd,2,2.1.2.2.1.2,2,224379.6326,198701.2762,279608.4354,237284.1562,305276.8577,237021.5278,251392.9282,298293.2252,303973.6497,17.7,15.1,10.1,-1.109427,0.4613058,
O88545,COP9 signalosome complex subunit 6 OS,Cops6,1,1.1.1.1.1.1,1,23666.5249,27655.02387,56059.67528,44912.89507,31680.71348,42542.56598,31776.88286,34898.24175,39980.42138,49.3,17.8,11.6,-1.109469,0.6062076,
A2ASQ1,Agrin OS,Agrn,2,2.2.2.2.2.2,2,45574.40866,44003.31239,36836.70784,53507.23714,42268.87339,44489.84198,49986.38294,42127.07823,39173.19993,11.1,12.7,12.8,-1.109572,0.3498259,
Q6DFV3,Rho GTPase-activating protein 21 OS,Arhgap21,37,36.36.33.36.36.36,36,10052848.98,10521858.25,10882919.49,10891445.89,12429598.33,11605839.04,10604218.57,10641908.61,10117951.86,3.97,6.61,2.8,-1.110283,0.09475352,
Q3TLI0,Trafficking protein particle complex subunit 10 OS,Trappc10,7,5.6.5.6.5.5,7,1021086.412,905368.6899,1052092.988,958518.0024,1320174.898,1028435.797,1128374.627,1565755.52,1283785.488,7.79,17.4,16.7,-1.110316,0.4359736,
Q8CFA2,"Aminomethyltransferase, mitochondrial OS",Amt,2,2.2.2.2.2.2,2,2907638.205,2545270.719,2936365.098,3351157.435,2544195.702,3421842.01,3194102.065,3148639.922,2839489.04,7.79,15.7,6.3,-1.110608,0.4252801,
P47809,Dual specificity mitogen-activated protein kinase kinase 4 OS,Map2k4,3,3.-.2.2.3.3,3,1172317.267,978019.5566,936550.5192,1319698.88,846178.8812,1262676.443,1165580.521,1147755.51,1013189.769,12.2,22.6,7.51,-1.110683,0.6053446,
Q80TK0,AP2-interacting clathrin-endocytosis protein OS,Kiaa1107,3,2.3.2.3.3.3,3,56573.81851,77968.80566,35028.93301,62811.57955,54895.66291,70650.70495,47854.4799,59758.3184,38605.94568,38,12.5,21.8,-1.110787,0.5876463,
Q6PAR5,GTPase-activating protein and VPS9 domain-containing protein 1 OS,Gapvd1,22,16.20.21.21.21.22,22,8182838.986,9566528.602,8670208.779,8285672.595,10841804.84,10240761.68,8198282.479,7934010.604,8299292.012,7.97,13.7,2.32,-1.111609,0.3552301,
O35681,Synaptotagmin-3 OS,Syt3,1,1.1.1.1.1.1,1,110040.5505,113076.9162,120801.7509,141935.724,129362.2383,111017.5156,98769.40314,75696.57324,79029.08379,4.84,12.2,14.8,-1.111643,0.2909388,
Q9QZ08,N-acetyl-D-glucosamine kinase OS,Nagk,2,2.2.2.2.2.2,2,405454.4582,394815.2023,383802.3777,433706.1235,428935.2634,453855.4292,370370.3986,407844.4088,337746.9348,2.74,3.01,9.43,-1.111838,0.01084302,
Q925N0,Sideroflexin-5 OS,Sfxn5,12,11.12.10.12.11.12,12,7037760.848,5800931.218,5773039.12,7037419.962,6939917.279,6718097.318,5854769.536,6079643.063,5949827.375,11.6,2.37,1.89,-1.111956,0.2297869,
P12960,Contactin-1 OS,Cntn1,47,45.41.43.45.43.44,47,78178612.44,76556236.24,72134724.68,76826600.84,87351179.46,88095989.59,76800549.73,82358741.24,82462352.57,4.14,7.49,4.02,-1.111977,0.1265424,
Q6NTA4,Ras-related GTP-binding protein B OS,Rragb,5,5.5.3.4.5.5,5,1369410.76,1703884.752,1452143.594,1587517.074,1706060.352,1740552.495,1851900.326,1387334.571,1445007.757,11.5,4.78,16.2,-1.112407,0.228457,
Q9CQ62,"2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial OS",Decr1,6,6.5.6.6.6.6,6,1470968.678,1056926.006,1338104.712,1638437.067,1298383.647,1365842.012,1356009.987,1244946.44,1434970.393,16.4,12.6,7.1,-1.11295,0.4144668,
P45376,Aldo-keto reductase family 1 member B1 OS,Akr1b1,11,9.8.10.11.11.11,10,6107420.829,6269779.369,5630021.678,7876439.392,6225128.297,5944021.72,6971964.147,6340945.016,6982024.574,5.54,15.6,5.43,-1.113197,0.3715176,
Q3TXS7,26S proteasome non-ATPase regulatory subunit 1 OS,Psmd1,11,11.11.10.11.11.11,11,2578712.51,2614648.83,2718052.605,2856865.467,3003714.482,2947368.623,2792435.759,3178055.762,3078868.125,2.74,2.52,6.64,-1.113322,0.007611019,
P84075,Neuron-specific calcium-binding protein hippocalcin OS,Hpca,2,2.2.2.2.2.2,2,371878.4954,286764.8063,327067.9108,356098.392,347604.6862,393793.8975,361983.8927,392019.7805,370436.1907,13,6.72,4.13,-1.113406,0.2778118,
O08644,Ephrin type-B receptor 6 OS,Ephb6,1,1.1.1.1.1.1,1,13406.37671,12795.65265,13825.3237,16879.43092,8268.477432,19467.37151,14616.95584,15715.33716,15005.82085,3.88,39.4,3.69,-1.11462,0.8801279,
P60843,Eukaryotic initiation factor 4A-I OS,Eif4a1,24,23.23.24.23.24.23,10,28506190.98,25022137.91,27798141.54,34713794.01,28316613.77,27643320.81,27247988.89,27052808.31,25844055.75,6.79,12.9,2.85,-1.114935,0.2897864,
Q8C878,NEDD8-activating enzyme E1 catalytic subunit OS,Uba3,5,4.5.4.4.4.4,5,839014.7827,861985.0687,937125.0121,947964.7783,984595.73,1009198.749,883320.637,1027609.358,868843.1313,5.84,3.14,9.47,-1.115095,0.06051315,
Q9D2V7,Coronin-7 OS,Coro7,7,6.6.5.6.6.7,7,2098891.184,2182791.202,2363498.592,2363591.504,2589745.729,2458522.933,2023372.097,1973876.588,2080678.57,6.1,4.6,2.64,-1.115374,0.07106243,
Q8K3G9,DCC-interacting protein 13-beta OS,Appl2,17,14.15.14.16.16.16,16,24589423.28,17795978.36,18631223.85,24686113.06,22137999.48,21241076.39,22467279.77,23517342.25,22575026.44,18.2,7.88,2.53,-1.115519,0.370796,
Q8QZT1,"Acetyl-CoA acetyltransferase, mitochondrial OS",Acat1,23,21.19.20.21.21.23,23,23736245.98,20721791.17,20295323.39,27487763.59,21338618.08,23411394.33,23733834.53,23882321.86,22320294.52,8.69,13,3.7,-1.115583,0.3064104,
Q9JHU4,Cytoplasmic dynein 1 heavy chain 1 OS,Dync1h1,174,159.153.157.166.160.166,174,94566541.95,74895624.27,89371338.87,105160427.7,98332457.01,85274975.96,88297268.35,88330472.06,86534348.57,11.8,10.5,1.17,-1.115651,0.3039332,
Q922S4,"cGMP-dependent 3',5'-cyclic phosphodiesterase OS",Pde2a,12,11.11.11.11.12.12,12,2321767.959,1945542.778,2129401.686,2669506.97,2167158.256,2302788.738,2164546.249,2210218.185,2257606.951,8.82,10.9,2.1,-1.116113,0.2498099,
Q9Z2W8,Glutamate receptor 4 OS,Gria4,1,1.1.1.1.1.1,1,3671.279024,3620.217866,6779.907101,5864.647899,4304.250213,5544.690902,4598.385227,4656.497511,5037.163487,38.6,15.7,5,-1.116704,0.5678754,
P32233,Developmentally-regulated GTP-binding protein 1 OS,Drg1,1,1.1.1.1.1.1,1,92020.85656,86376.6529,69835.88707,93447.32564,83224.9371,100552.7066,81049.44702,86513.46832,88424.03801,13.9,9.43,4.49,-1.116792,0.3258542,
O88712,C-terminal-binding protein 1 OS,Ctbp1,8,8.7.7.8.8.8,8,2726217.918,2346276.137,2360155.566,2944099.898,2641881.306,2718745.202,2314867.349,2157391.392,2228040.684,8.7,5.67,3.53,-1.117331,0.1396366,
Q91Y86,Mitogen-activated protein kinase 8 OS,Mapk8,2,2.2.2.2.2.2,2,532155.2921,530188.3847,521861.4557,656140.8586,466443.2069,647532.3532,669647.1836,612755.0663,687136.3223,1.03,18.2,5.92,-1.117353,0.4685986,
Q3UHC7,Disabled homolog 2-interacting protein OS,Dab2ip,7,6.5.7.7.7.7,7,1111149.844,984235.4803,1049500.086,1242555.607,1075435.648,1197671.481,1402403.608,1117675.623,1266482.415,6.05,7.38,11.3,-1.117899,0.1207331,
Q5S006,Leucine-rich repeat serine/threonine-protein kinase 2 OS,Lrrk2,2,2.2.2.2.2.2,2,19925.96706,25929.61009,40359.06927,29266.13968,37973.3363,29171.91336,21344.84369,19584.15997,24270.41927,36.5,15.7,10.9,-1.118272,0.562531,
A6H8H5,Potassium voltage-gated channel subfamily B member 2 OS,Kcnb2,1,1.1.1.1.1.1,1,49473.83656,38882.35007,31850.91426,40119.22231,27621.13895,66690.58882,51670.9253,61147.97614,56445.40764,22.1,44.5,8.4,-1.118328,0.8410481,
Q8R010,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 OS,Aimp2,4,4.3.4.4.4.4,4,1499926.882,1093541.351,1191263.054,1511939.364,1273195.897,1449233.584,1748950.396,1354877.081,1712204.552,16.8,8.77,13.6,-1.118803,0.3480837,
Q9R0H0,Peroxisomal acyl-coenzyme A oxidase 1 OS,Acox1,2,2.2.2.2.2.2,2,66904.88948,92217.14322,69478.35746,71954.43653,95870.57079,88027.7426,79422.25134,84492.12128,98519.66773,18.3,14.3,11.3,-1.119214,0.431014,
O08547,Vesicle-trafficking protein SEC22b OS,Sec22b,2,1.2.1.2.1.2,2,431844.1729,308502.6103,207742.5606,379317.8188,372434.2593,309509.7594,177218.2153,185713.5307,169539.506,35.5,10.9,4.56,-1.119369,0.5519721,
P98084,Amyloid-beta A4 precursor protein-binding family A member 2 OS,Apba2,5,5.5.4.5.4.5,4,993883.9374,1092829.981,960684.12,1224384.872,1187198.89,999737.4868,1004743.412,1047125.444,1217931.158,6.77,10.6,10.4,-1.119421,0.2237059,
Q9DB27,Malignant T-cell-amplified sequence 1 OS,Mcts1,3,3.3.3.3.3.3,3,544008.3222,578505.546,489443.0125,715396.1503,503979.2474,586163.1803,507908.6274,507211.6346,492758.6225,8.36,17.7,1.7,-1.120091,0.4207154,
Q8R5L3,Vam6/Vps39-like protein OS,Vps39,1,1.1.1.1.1.1,1,10149.05232,9662.609113,9403.229674,11668.39454,7458.018422,13611.72888,10233.66332,10736.45488,10939.25225,3.89,28.8,3.42,-1.120598,0.6900514,
A2AQ25,Sickle tail protein OS,Skt,7,7.7.6.6.6.7,7,6156153.427,5379137.7,12400693.62,6437592.825,11538435.68,8850504.601,8958367.706,11487104.66,8260112.31,48.2,28.5,17.7,-1.120762,0.6424776,
P16054,Protein kinase C epsilon type OS,Prkce,17,14.14.13.15.15.16,17,5947198.991,6043620.148,5868897.168,7207657.993,6373095.299,6436427.654,7282915.101,6380084.325,7181102.056,1.47,6.96,7.12,-1.120801,0.09815617,
Q3UH93,Plexin-D1 OS,Plxnd1,4,3.3.4.4.4.4,4,168576.2707,178535.8683,257490.1176,215808.9335,250455.1282,211403.58,257419.6621,172941.2052,227590.9439,24.2,9.47,19.5,-1.120849,0.4405429,
Q9WV34,MAGUK p55 subfamily member 2 OS,Mpp2,19,16.13.18.19.17.18,19,9073506.829,10923410.87,10169336.31,12821721.89,10419322.39,10577986.06,10866382.95,11208856.17,11422197.66,9.25,11.9,2.51,-1.121088,0.2627871,
P50396,Rab GDP dissociation inhibitor alpha OS,Gdi1,38,36.36.33.38.37.37,29,81077327.16,84027841.04,87833795.48,98253495.35,96727058.31,88723610.05,86485481.96,83239841.4,81483430.13,4.02,5.41,3.03,-1.121631,0.04861558,
Q3USJ8,F-BAR and double SH3 domains protein 2 OS,Fchsd2,1,1.1.1.1.1.1,1,71897.00965,66476.01312,50347.27081,71754.80739,75590.74454,64397.95257,64612.60206,68621.35997,68782.31924,17.8,8.06,3.51,-1.121996,0.376277,
Q9Z0R4,Intersectin-1 OS,Itsn1,52,43.46.48.49.50.51,52,30807208,34675643.58,31041976.18,36089306.51,35252092.86,36985104.55,33316409.93,32992141.95,34396986.84,6.74,2.4,2.19,-1.122266,0.07896042,
Q8CCK0,Core histone macro-H2A.2 OS,Macroh2a2,5,5.5.5.5.5.5,5,1204495.22,1143872.574,1260359.928,1183179.749,1051825.243,1815140.559,1390914.51,1093799.916,1156258.06,4.84,30.2,12.9,-1.12232,0.6515633,
Q9Z140,Copine-6 OS,Cpne6,15,14.13.14.14.15.15,14,6003829.604,5095059.465,6153313.645,6680248.789,5770419.859,6916482.123,4889241.252,5543048.119,5521804.22,9.96,9.37,6.99,-1.12259,0.2263506,
Q8K2C9,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3 OS,Hacd3,12,12.11.12.12.12.12,12,7606756.582,8122284.976,8436663.668,9039343.377,8897980.66,9192114.604,7564099.208,8314902.374,8172706.514,5.2,1.63,4.97,-1.122642,0.05073526,
Q8BL06,Inactive ubiquitin carboxyl-terminal hydrolase 54 OS,Usp54,42,38.40.38.40.41.39,42,16183374.53,18030135.62,19035596.58,19248488.7,22563952.18,17992142.01,17938421.9,17345041.03,17899946.06,8.15,11.8,1.87,-1.12311,0.2463277,
Q80UM7,Mannosyl-oligosaccharide glucosidase OS,Mogs,5,5.3.5.5.5.5,5,363024.795,367347.6726,408603.405,489978.898,434412.5039,355033.3451,472973.2926,428211.1596,390579.7286,6.63,15.9,9.58,-1.123312,0.3704285,
Q6NS57,Mitogen-activated protein kinase-binding protein 1 OS,Mapkbp1,1,1.1.1.1.1.1,1,22373.10637,34367.79475,29668.96778,22951.80312,46619.1127,27499.03044,33171.63521,33885.52674,37976.1923,21,38.8,7.4,-1.123366,0.7523974,
O54967,Activated CDC42 kinase 1 OS,Tnk2,2,2.2.2.2.2.2,2,42834.70171,35983.19633,43625.20985,49274.33515,57769.83626,30577.01699,46356.30039,28139.95976,36464.46879,10.3,30.3,24.7,-1.12396,0.703648,
P46662,Merlin OS,Nf2,10,10.9.10.9.9.10,10,1546058.218,1520873.599,1380172.14,1696604.258,1695565.717,1606344.572,1556307.648,1588860.45,1361717.662,6.03,3.11,8.18,-1.123993,0.0599831,
P60469,Liprin-alpha-3 OS,Ppfia3,6,5.5.6.6.6.6,4,639543.1168,577724.7832,517754.5849,731310.216,528975.8264,691853.1605,593188.4905,607091.4833,651147.7066,10.5,16.5,4.9,-1.125138,0.4038198,
P0C090,Roquin-2 OS,Rc3h2,1,1.1.1.1.1.1,0,155966.2971,223288.319,156143.037,171799.0638,219217.0809,211430.5945,162056.0271,174677.8534,200971.4739,21.8,12.7,11.1,-1.125232,0.4281941,
P70232,Neural cell adhesion molecule L1-like protein OS,Chl1,5,5.2.4.5.4.5,5,449304.5001,466087.3511,541803.7794,638977.3596,482689.9779,518027.992,585451.6174,692993.6133,625848.5315,10.1,15,8.56,-1.12524,0.3331279,
P60229,Eukaryotic translation initiation factor 3 subunit E OS,Eif3e,1,1.1.1.1.1.1,1,61771.85056,50829.64794,33853.60047,58242.68874,62825.7405,43771.42576,46825.57496,39304.10892,43631.42666,28.8,18.1,8.73,-1.125532,0.554567,
O35083,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha OS,Agpat1,2,2.2.2.2.2.2,2,1059887.176,961462.0808,938955.9759,1272200.861,1088774.01,971145.0431,1044900.113,959910.2266,1060604.78,6.52,13.7,5.3,-1.1256,0.2852526,
Q71B07,Probable C-mannosyltransferase DPY19L3 OS,Dpy19l3,1,1.1.1.1.1.1,1,59412.61723,53803.00184,50893.31885,56104.22425,65948.49605,62732.96412,54788.56923,58320.10725,66735.82771,7.92,8.15,10.2,-1.125994,0.1464818,
P47962,60S ribosomal protein L5 OS,Rpl5,15,14.14.12.14.13.14,15,15225614.11,11270967.31,12457907.28,15608757.09,13678965.7,14590964.56,15305678.52,13848216.57,13363848.83,15.6,6.6,7.13,-1.126409,0.291799,
P97355,Spermine synthase OS,Sms,2,1.2.2.2.2.2,2,239726.2227,234940.2203,245605.8273,254541.3324,247639.5999,309844.3897,195061.6452,218479.5942,227939.6109,2.23,12.6,7.92,-1.127387,0.2424368,
Q9D2N9,Vacuolar protein sorting-associated protein 33A OS,Vps33a,2,2.2.2.2.2.2,2,159640.9204,82047.2674,44885.97335,78911.44926,157653.102,86546.35528,109554.224,93298.26755,93695.86473,61.3,40.3,9.38,-1.127495,0.665789,
Q3U2I3,FHF complex subunit HOOK interacting protein 1B OS,Fhip1b,1,1.1.1.1.1.1,1,30051.34808,23543.41223,19624.34426,28252.42369,25654.6192,28665.79499,23027.4116,22522.8195,28303.87314,21.6,5.93,13,-1.12775,0.3917039,
P62267,40S ribosomal protein S23 OS,Rps23,3,3.3.3.3.2.2,3,3381574.758,3501508.831,3855715.025,4174731.863,4005593.932,3936622.544,3866571.599,3690849.261,4446291.87,6.89,3.03,9.88,-1.128334,0.07233864,
P70451,Tyrosine-protein kinase Fer OS,Fer,4,4.4.4.4.4.4,4,117323.9824,119688.5892,122262.8624,140318.3534,126879.3155,138289.3554,114841.4075,121894.5077,118035.8229,2.06,5.36,2.99,-1.128624,0.04802895,
Q8CGM1,Adhesion G protein-coupled receptor B2 OS,Adgrb2,9,7.7.8.8.8.8,9,633859.7149,1016471.442,776697.5649,884533.8758,965842.8695,888832.1136,715213.4689,809363.4241,698116.1197,23.9,5.01,8.09,-1.128626,0.4173744,
Q9ESN9,C-Jun-amino-terminal kinase-interacting protein 3 OS,Mapk8ip3,29,26.22.23.26.26.27,23,7783437.004,8664776.932,7914517.286,9446800.299,8863516.173,9191993.465,8834413.061,8604379.161,8801899.537,5.86,3.19,1.42,-1.128868,0.04657478,
Q3UTZ3,Trafficking protein particle complex subunit 14 OS,Trappc14,4,4.4.4.4.4.4,4,496896.9697,417515.8877,589855.2686,639609.7355,508672.3513,549979.7171,480795.9907,560522.722,518355.9194,17.2,11.8,7.67,-1.128962,0.3594828,
Q9JLN9,Serine/threonine-protein kinase mTOR OS,Mtor,14,13.13.13.14.14.14,14,1147535.714,1109046.683,1323768.998,1364512.294,1236051.246,1441948.682,1219539.116,1181369.425,1203513.178,9.59,7.72,1.6,-1.129083,0.1599912,
Q99N57,RAF proto-oncogene serine/threonine-protein kinase OS,Raf1,1,1.1.1.1.1.1,1,17692.52751,25436.84801,20741.04413,20369.93009,19385.67858,32385.54719,26285.60112,27089.34218,30008.97047,18.3,30.1,7.05,-1.129492,0.6223785,
Q61625,"Glutamate receptor ionotropic, delta-2 OS",Grid2,1,1.1.1.1.1.1,1,43736.03194,70484.29565,38787.81879,48466.41644,60975.54874,63486.13705,38667.48313,35926.2306,37224.3909,33.4,14,3.68,-1.130189,0.5122181,
Q8K2J7,RELT-like protein 1 OS,Rell1,1,1.1.1.1.1.1,1,34193.73956,37178.23787,20774.16903,33150.30019,36220.85026,34805.88225,30638.52036,33125.47343,32874.97386,28.4,4.43,4.25,-1.130563,0.4891466,
Q8BUL6,Pleckstrin homology domain-containing family A member 1 OS,Plekha1,3,2.2.3.3.2.3,3,163256.9002,110342.5403,171040.4112,170576.5082,174004.6785,158180.6245,186668.7851,136758.013,133308.9411,22.3,4.97,19.6,-1.130717,0.4197696,
Q9JMF7,Dolichyldiphosphatase 1 OS,Dolpp1,1,1.1.1.1.1.1,1,30017.2611,25857.75974,33714.86502,32507.21141,40606.04723,28219.58987,36450.58925,38779.40474,36241.45379,13.2,18.6,3.79,-1.131075,0.4237373,
Q9D2G2,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS",Dlst,3,3.3.3.3.3.3,3,2180718.709,2045563.798,1827232.551,2547543.167,2299000.109,2002736.844,1962636.563,1985491.555,2269011.706,8.84,11.9,8.24,-1.131455,0.2402949,
Q9CPY7,Cytosol aminopeptidase OS,Lap3,2,2.2.1.1.2.2,2,201152.6253,241709.1182,213295.8495,280218.7301,271596.484,190806.8386,119890.7725,124073.6698,112828.6825,9.52,19.9,4.78,-1.131774,0.4707371,
Q9JLJ2,4-trimethylaminobutyraldehyde dehydrogenase OS,Aldh9a1,4,2.2.2.4.3.3,4,1726453.706,1284171.279,2285044.67,2025159.947,2166359.591,1803601.943,2091148.539,2355888.64,2508382.714,28.4,9.15,9.11,-1.13208,0.4711692,
Q8C570,mRNA export factor OS,Rae1,3,3.3.3.3.2.3,3,208930.4207,184869.5846,220066.3456,225452.7836,210183.1619,259355.049,252908.9492,256253.4287,202099.2457,8.79,10.9,12.8,-1.132154,0.2039245,
Q9D6R2,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial OS",Idh3a,13,11.11.11.12.12.13,13,4643414.368,4639956.647,5347892.954,5797570.63,5131345.788,5650098.141,5872162.757,5295133.852,5660730.017,8.36,6.33,5.2,-1.133123,0.1080287,
Q9JJH1,Ribonuclease 4 OS,Rnase4,1,1.1.1.1.1.1,1,35729.26884,33888.00629,38279.80255,41009.86338,32091.91964,49172.55623,40414.26842,37017.71852,41870.77346,6.13,21,6.26,-1.13325,0.4668833,
Q8BKC5,Importin-5 OS,Ipo5,2,2.2.2.2.2.2,2,101904.341,118281.1365,132512.0606,134888.5003,130990.9674,133903.0739,108875.1477,90336.99771,114054.9916,13,1.52,11.9,-1.1335,0.2259734,
Q6NS52,Diacylglycerol kinase beta OS,Dgkb,11,10.10.11.10.10.11,11,2386274.805,2114688.109,3037357.022,3206715.162,2825886.423,2512138.109,2760802.129,2865777.231,3058151.087,18.9,12.2,5.21,-1.133507,0.3681615,
Q9JKX6,ADP-sugar pyrophosphatase OS,Nudt5,2,2.1.2.2.2.2,2,351142.6565,272506.2451,436730.7228,457888.9675,412997.6409,331396.2891,298049.5087,530903.9794,422932.022,23.2,16,27.9,-1.133823,0.4672731,
Q61701,ELAV-like protein 4 OS,Elavl4,9,8.8.7.9.9.9,3,4553806.805,5004027.887,4844725.384,5826627.957,5484473.688,5027197.012,4577161.393,4191519.819,4202491.323,4.76,7.36,5.08,-1.134402,0.0809961,
Q61290,Voltage-dependent R-type calcium channel subunit alpha-1E OS,Cacna1e,2,2.2.2.2.2.2,2,74509.39706,53021.14537,141823.2137,103009.2654,111326.9718,91386.98559,73507.55367,90556.54581,101861.8002,51.6,9.83,16.1,-1.135025,0.5467768,
Q9Z280,Phospholipase D1 OS,Pld1,1,1.1.1.1.1.1,1,24957.85473,48388.4469,40955.59857,32107.79079,41930.14648,55708.09804,28632.07958,32887.69479,35757.01157,31.4,27.4,11.1,-1.135117,0.6160551,
P84084,ADP-ribosylation factor 5 OS,Arf5,4,4.4.4.4.4.4,4,4144462.803,3562847.547,3821745.137,4491885.545,3606566.752,4989036.237,3882392.237,4390519.752,4745170.779,7.58,16.1,9.99,-1.135174,0.3425974,
P47708,Rabphilin-3A OS,Rph3a,3,3.3.2.3.3.3,3,520881.2813,242881.9628,402067.6261,554698.1219,315524.0445,453462.5775,380759.469,446551.4757,466598.9478,35.9,27.2,10.4,-1.1354,0.6246527,
Q8BH70,F-box/LRR-repeat protein 4 OS,Fbxl4,1,1.1.-.1.1.1,1,17467.85495,23040.02053,17811.89647,24390.46833,20288.23635,21547.97989,21223.26861,27194.22219,22588.42132,16.1,9.52,13.2,-1.135579,0.286944,
